job_id,job_title,cand_id,name,cosine_score,skill_score,final_score,meets_threshold,job_skills,cand_skills
JOB_001,Junior Medical Imaging Software Engineer,CAND_001,Alice Lee,0.5268,0.8235,0.6455,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, test scripts, v&v, verification and validation"
JOB_001,Junior Medical Imaging Software Engineer,CAND_017,Quinn Adams,0.3408,0.4706,0.3927,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","design verification testing, dvt, iso 13485, matlab, medical device, python, regulatory submission, test scripts"
JOB_001,Junior Medical Imaging Software Engineer,CAND_012,Leo Martinez,0.3173,0.4118,0.3551,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","design verification testing, dvt, iso 13485, medical device, python, regulatory submission, test scripts"
JOB_001,Junior Medical Imaging Software Engineer,CAND_004,David Kim,0.2754,0.4706,0.3534,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","dvt, iso 13485, medical device, python, regulatory submission, test scripts, v&v, verification and validation"
JOB_001,Junior Medical Imaging Software Engineer,CAND_007,Grace Patel,0.274,0.4706,0.3526,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","design verification testing, dvt, iso 13485, medical imaging, python, regulatory documentation, regulatory submission, v&v"
JOB_001,Junior Medical Imaging Software Engineer,CAND_011,Karen Wong,0.2589,0.4706,0.3436,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","dvt, iso 13485, matlab, medical device, python, regulatory documentation, v&v, verification and validation"
JOB_001,Junior Medical Imaging Software Engineer,CAND_015,Olivia Park,0.2148,0.5294,0.3407,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","dvt, image quality analysis, matlab, oct, python, regulatory documentation, test scripts, v&v, verification and validation"
JOB_001,Junior Medical Imaging Software Engineer,CAND_020,Tom Nguyen,0.2472,0.4706,0.3366,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","dvt, iso 13485, medical device, python, regulatory submission, test scripts, v&v, verification and validation"
JOB_001,Junior Medical Imaging Software Engineer,CAND_003,Carmen Zhou,0.2353,0.4118,0.3059,True,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","automation, design verification testing, image quality analysis, matlab, medical imaging, oct, python"
JOB_001,Junior Medical Imaging Software Engineer,CAND_009,Isabella Rossi,0.2666,0.2941,0.2776,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","image quality analysis, matlab, medical device, oct, python"
JOB_001,Junior Medical Imaging Software Engineer,CAND_006,Felix Chen,0.1613,0.1667,0.1634,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","matlab, medical device, python, traceability"
JOB_001,Junior Medical Imaging Software Engineer,CAND_018,Riley Thompson,0.0903,0.1667,0.1208,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","image quality analysis, oct, python, traceability"
JOB_001,Junior Medical Imaging Software Engineer,CAND_010,Jack Miller,0.0249,0.037,0.0297,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","automation, aws, ci/cd, express, git, node.js, postgresql, react, responsive, restful apis, ui/ux"
JOB_001,Junior Medical Imaging Software Engineer,CAND_005,Emily Tran,0.0097,0.0333,0.0192,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","automation, aws, ci/cd, deployment, express, full-stack, git, node.js, postgresql, react, responsive, rest api, tailwind css, ui/ux"
JOB_001,Junior Medical Imaging Software Engineer,CAND_019,Sofia Hernandez,0.0054,0.0,0.0032,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","api integration, aws, ci/cd, deployment, git, node.js, react, responsive, tailwind css, ui/ux"
JOB_001,Junior Medical Imaging Software Engineer,CAND_014,Noah Green,0.0052,0.0,0.0031,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","aws, ci/cd, deployment, express, full-stack, mongodb, node.js, postgresql, react, responsive, restful apis"
JOB_001,Junior Medical Imaging Software Engineer,CAND_008,Henry Zhao,0.0048,0.0,0.0029,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","aws, ci/cd, deployment, docker, git, kubernetes"
JOB_001,Junior Medical Imaging Software Engineer,CAND_002,Brian Singh,0.0,0.0,0.0,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","aws, ci/cd, express, full-stack, git, mongodb, node.js, postgresql, react, responsive, restful apis, tailwind css, ui/ux"
JOB_001,Junior Medical Imaging Software Engineer,CAND_013,Mia Johnson,0.0,0.0,0.0,False,"automation, design verification testing, dvt, image quality analysis, intravascular ultrasound, iso 13485, matlab, medical device, medical imaging, oct, python, regulatory documentation, regulatory submission, test automation, test scripts, v&v, verification and validation","aws, ci/cd, git, node.js, react, responsive, rest api, tailwind css, ui/ux"
